start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season,team
"Rebound, 0-10 s",0.133,0.524,0.49,0.584,0.11199999999999999,0.304,0.39799999999999996,0.341,2013-14,Bryant
"Rebound, 11-30 s",0.209,0.47200000000000003,0.348,0.496,0.271,0.341,0.382,0.363,2013-14,Bryant
"Score, 0-10 s",0.068,0.47600000000000003,0.311,0.424,0.18899999999999997,0.25,0.5,0.396,2013-14,Bryant
"Score, 11-30 s",0.397,0.46399999999999997,0.314,0.45899999999999996,0.301,0.349,0.384,0.371,2013-14,Bryant
"Steal, 0-10 s",0.07,0.588,0.657,0.634,0.13,0.35700000000000004,0.213,0.391,2013-14,Bryant
"Steal, 11-30 s",0.027999999999999997,0.395,0.349,0.4,0.233,0.5,0.419,0.222,2013-14,Bryant
Transition,0.27,0.529,0.488,0.5760000000000001,0.136,0.298,0.376,0.36700000000000005,2013-14,Bryant
