shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.36700000000000005,0.573,0.13,0.659,2014-15
2pt Jumpers,0.308,0.365,0.105,0.408,2014-15
3pt Shots,0.325,0.33799999999999997,0.003,0.34,2014-15
