shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.306,0.628,0.09699999999999999,0.695,2011-12,Vanderbilt
2pt Jumpers,0.369,0.34299999999999997,0.091,0.377,2011-12,Vanderbilt
3pt Shots,0.325,0.309,0.021,0.315,2011-12,Vanderbilt
