shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.342,0.61,0.121,0.6940000000000001,2014-15,MiddleTenn.
2pt Jumpers,0.33399999999999996,0.34700000000000003,0.06,0.369,2014-15,MiddleTenn.
3pt Shots,0.324,0.353,0.006999999999999999,0.355,2014-15,MiddleTenn.
