shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.325,0.5670000000000001,0.139,0.6579999999999999,2013-14,Stanford
2pt Jumpers,0.336,0.35200000000000004,0.085,0.384,2013-14,Stanford
3pt Shots,0.33899999999999997,0.349,0.009000000000000001,0.353,2013-14,Stanford
