name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Josh Huestis,35,0.302,0.28800000000000003,0.655,0.035,0.016,0.16699999999999998,2013-14
Dwight Powell,30,0.145,0.156,0.7,0.05,0.04,0.3,2013-14
Anthony Brown,8,0.066,0.039,0.33299999999999996,0.022000000000000002,0,0,2013-14
Stefan Nastic,8,0.107,0.075,0.5,0.018000000000000002,0.017,0.5,2013-14
Chasson Randle,5,0.013000000000000001,0.011000000000000001,0.5,0.024,0.018000000000000002,0.33299999999999996,2013-14
Robbie Lemons,4,0.214,0.33299999999999996,1,0.1,0,0,2013-14
Marcus Allen,4,0.154,0.188,0.75,0,0,NA,2013-14
Grant Verhoeven,2,0.222,0,0,0,0,NA,2013-14
John Gage,2,0.2,0.25,1,0.062,0,0,2013-14
Total,98,0.11900000000000001,0.121,0.63,0.033,0.019,0.24,2013-14
