shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.34600000000000003,0.629,0.08199999999999999,0.6859999999999999,2014-15
2pt Jumpers,0.272,0.359,0.087,0.39299999999999996,2014-15
3pt Shots,0.382,0.317,0.009000000000000001,0.32,2014-15
