shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.36,0.657,0.066,0.703,2011-12
2pt Jumpers,0.312,0.354,0.045,0.371,2011-12
3pt Shots,0.32799999999999996,0.358,0.005,0.36,2011-12
