shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.355,0.598,0.078,0.648,2019-20,OralRoberts
2pt Jumpers,0.256,0.376,0.04,0.391,2019-20,OralRoberts
3pt Shots,0.389,0.335,0.01,0.33799999999999997,2019-20,OralRoberts
