shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.381,0.63,0.07,0.677,2011-12,Bethune-Cookman
2pt Jumpers,0.33,0.376,0.068,0.40299999999999997,2011-12,Bethune-Cookman
3pt Shots,0.29,0.341,0.018000000000000002,0.34700000000000003,2011-12,Bethune-Cookman
