shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.36,0.6559999999999999,0.06,0.6970000000000001,2018-19,SoutheastMo.St.
2pt Jumpers,0.222,0.379,0.07,0.40700000000000003,2018-19,SoutheastMo.St.
3pt Shots,0.41700000000000004,0.32,0.005,0.322,2018-19,SoutheastMo.St.
