start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season
"Rebound, 0-10 s",0.16399999999999998,0.504,0.317,0.529,0.21600000000000003,0.31,0.466,0.384,2018-19
"Rebound, 11-30 s",0.196,0.397,0.284,0.418,0.312,0.38,0.40299999999999997,0.264,2018-19
"Score, 0-10 s",0.048,0.589,0.44299999999999995,0.8290000000000001,0.10099999999999999,0.5,0.456,0.25,2018-19
"Score, 11-30 s",0.377,0.502,0.299,0.522,0.32299999999999995,0.387,0.37799999999999995,0.391,2018-19
"Steal, 0-10 s",0.034,0.607,0.607,0.794,0.161,0.444,0.23199999999999998,0.154,2018-19
"Steal, 11-30 s",0.026000000000000002,0.345,0.33299999999999996,0.35700000000000004,0.262,0.182,0.405,0.294,2018-19
Transition,0.247,0.535,0.382,0.6559999999999999,0.18600000000000003,0.34700000000000003,0.43200000000000005,0.33899999999999997,2018-19
