shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.401,0.556,0.075,0.601,2019-20,Penn
2pt Jumpers,0.292,0.32299999999999995,0.06,0.344,2019-20,Penn
3pt Shots,0.307,0.33299999999999996,0.011000000000000001,0.337,2019-20,Penn
