shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.336,0.598,0.079,0.649,2019-20,YoungstownSt.
2pt Jumpers,0.33299999999999996,0.371,0.045,0.389,2019-20,YoungstownSt.
3pt Shots,0.331,0.344,0.003,0.345,2019-20,YoungstownSt.
