name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Derek Culver,41,0.309,0.373,0.735,0.061,0.083,0.429,2018-19
Esa Ahmad,25,0.2,0.182,0.5710000000000001,0.07,0.15,0.75,2018-19
Matthews Emmitt,23,0.302,0.306,0.579,0.14300000000000002,0.091,0.25,2018-19
Lamont West,19,0.23,0.237,0.529,0.037000000000000005,0,0,2018-19
Jermaine Haley,18,0.149,0.129,0.529,0,0,NA,2018-19
Logan Routt,14,0.282,0.24,0.545,0.158,0.16699999999999998,0.33299999999999996,2018-19
Wesley Harris,12,0.293,0.28,0.583,0,0,NA,2018-19
Andrew Gordon,9,0.159,0.13,0.429,0.07400000000000001,0.14300000000000002,0.5,2018-19
Sagaba Konate,4,0.12,0.14300000000000002,0.667,0.027000000000000003,0.071,1,2018-19
Jordan McCabe,3,0.048,0,0,0,0,NA,2018-19
James Bolden,2,0.02,0,0,0.028999999999999998,0,0,2018-19
Chase Harler,1,0.025,0.042,1,0,0,NA,2018-19
Trey Doomes,1,0.083,0,0,0,0,NA,2018-19
Total,172,0.18899999999999997,0.195,0.586,0.043,0.051,0.41700000000000004,2018-19
