shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.35,0.528,0.114,0.596,2019-20,UtahSt.
2pt Jumpers,0.22699999999999998,0.326,0.047,0.342,2019-20,UtahSt.
3pt Shots,0.423,0.314,0.005,0.315,2019-20,UtahSt.
