start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season,team
"Rebound, 0-10 s",0.13,0.523,0.485,0.617,0.201,0.385,0.314,0.311,2012-13,Bethune-Cookman
"Rebound, 11-30 s",0.235,0.491,0.285,0.64,0.36200000000000004,0.32299999999999995,0.353,0.363,2012-13,Bethune-Cookman
"Score, 0-10 s",0.055999999999999994,0.518,0.405,0.618,0.155,0.231,0.44,0.35100000000000003,2012-13,Bethune-Cookman
"Score, 11-30 s",0.377,0.45399999999999996,0.307,0.555,0.35700000000000004,0.32299999999999995,0.336,0.33299999999999996,2012-13,Bethune-Cookman
"Steal, 0-10 s",0.064,0.6629999999999999,0.674,0.797,0.11599999999999999,0.273,0.21100000000000002,0.3,2012-13,Bethune-Cookman
"Steal, 11-30 s",0.022000000000000002,0.439,0.364,0.5,0.39399999999999996,0.308,0.242,0.375,2012-13,Bethune-Cookman
Transition,0.249,0.5579999999999999,0.515,0.677,0.16899999999999998,0.33299999999999996,0.316,0.322,2012-13,Bethune-Cookman
