shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.35700000000000004,0.634,0.105,0.708,2011-12
2pt Jumpers,0.363,0.335,0.08199999999999999,0.365,2011-12
3pt Shots,0.281,0.313,0.01,0.317,2011-12
