start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season,team
"Rebound, 0-10 s",0.111,0.395,0.401,0.451,0.249,0.455,0.35,0.19399999999999998,2012-13,SamHoustonSt.
"Rebound, 11-30 s",0.239,0.436,0.261,0.44,0.332,0.26,0.40700000000000003,0.385,2012-13,SamHoustonSt.
"Opp score, 0-10 s",0.035,0.491,0.28600000000000003,0.688,0.179,0.3,0.536,0.3,2012-13,SamHoustonSt.
"Opp score, 11-30 s",0.375,0.401,0.313,0.42,0.303,0.313,0.384,0.303,2012-13,SamHoustonSt.
"Steal, 0-10 s",0.07400000000000001,0.5379999999999999,0.5710000000000001,0.691,0.218,0.192,0.21,0.32,2012-13,SamHoustonSt.
"Steal, 11-30 s",0.028999999999999998,0.315,0.348,0.312,0.37,0.294,0.28300000000000003,0.231,2012-13,SamHoustonSt.
Transition,0.22,0.45899999999999996,0.44,0.581,0.22699999999999998,0.35,0.332,0.248,2012-13,SamHoustonSt.
