start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season,team
"Rebound, 0-10 s",0.081,0.48700000000000004,0.439,0.56,0.263,0.467,0.298,0.265,2012-13,SouthernIll.
"Rebound, 11-30 s",0.207,0.431,0.268,0.513,0.433,0.405,0.299,0.264,2012-13,SouthernIll.
"Opp score, 0-10 s",0.022000000000000002,0.532,0.355,0.727,0.29,0.444,0.355,0.273,2012-13,SouthernIll.
"Opp score, 11-30 s",0.426,0.455,0.22,0.568,0.469,0.345,0.311,0.36,2012-13,SouthernIll.
"Steal, 0-10 s",0.095,0.679,0.716,0.7709999999999999,0.201,0.40700000000000003,0.08199999999999999,0.364,2012-13,SouthernIll.
"Steal, 11-30 s",0.040999999999999995,0.41200000000000003,0.21100000000000002,0.667,0.561,0.344,0.228,0.231,2012-13,SouthernIll.
Transition,0.198,0.584,0.563,0.701,0.237,0.439,0.201,0.28600000000000003,2012-13,SouthernIll.
