shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.353,0.682,0.038,0.7090000000000001,2014-15
2pt Jumpers,0.297,0.359,0.06,0.382,2014-15
3pt Shots,0.35100000000000003,0.326,0,0.326,2014-15
