name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Tanner Leissner,20,0.14800000000000002,0.183,0.722,0.031,0,0,2014-15,NewHampshire
Iba Camara,15,0.278,0.35700000000000004,0.667,0,0,NA,2014-15,NewHampshire
Jacoby Armstrong,10,0.08800000000000001,0.10400000000000001,0.8,0,0,NA,2014-15,NewHampshire
Ronnel Jordan,4,0.043,0.071,1,0.024,0.091,1,2014-15,NewHampshire
Jaleen Smith,4,0.03,0.017,0.33299999999999996,0.013999999999999999,0.05,1,2014-15,NewHampshire
Tommy McDonnell,3,0.094,0.105,0.667,0,0,NA,2014-15,NewHampshire
Joe Bramanti,3,0.061,0.048,0.33299999999999996,0,0,NA,2014-15,NewHampshire
Williams Gabriel,2,0.133,0.25,1,0,0,NA,2014-15,NewHampshire
Daniel Dion,2,0.023,0,0,0,0,NA,2014-15,NewHampshire
Matt Miller,1,0.037000000000000005,0.067,1,0,0,NA,2014-15,NewHampshire
Total,64,0.092,0.111,0.69,0.009000000000000001,0.013000000000000001,0.5,2014-15,NewHampshire
