shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.359,0.5529999999999999,0.134,0.638,2013-14,WakeForest
2pt Jumpers,0.331,0.395,0.055,0.418,2013-14,WakeForest
3pt Shots,0.31,0.314,0.008,0.316,2013-14,WakeForest
