name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Marlin Mason,21,0.23399999999999999,0.268,0.611,0.043,0.037000000000000005,0.33299999999999996,2012-13
Devon Long,15,0.149,0.161,0.818,0.083,0.21100000000000002,1,2012-13
Tim Kamczyc,12,0.16399999999999998,0.158,0.6,0.039,0,0,2012-13
Sebastian Douglas,12,0.081,0.092,0.75,0.057999999999999996,0,0,2012-13
Junior Lomomba,7,0.105,0.071,0.25,0.06,0.077,0.33299999999999996,2012-13
Aaron Scales,6,0.294,0.3,0.6,0.111,0,0,2012-13
Ludovic Ndaye,6,0.14300000000000002,0.154,0.667,0.065,0.188,1,2012-13
Bryn Forbes,6,0.059000000000000004,0.069,0.667,0.009000000000000001,0,0,2012-13
Anton Grady,2,0.03,0.042,1,0.025,0.083,1,2012-13
Charlie Lee,1,0.024,0,0,0,0,NA,2012-13
Total,88,0.124,0.133,0.6409999999999999,0.036000000000000004,0.046,0.455,2012-13
