shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.325,0.5920000000000001,0.11699999999999999,0.6709999999999999,2017-18,SouthCarolina
2pt Jumpers,0.297,0.35700000000000004,0.065,0.382,2017-18,SouthCarolina
3pt Shots,0.37799999999999995,0.33299999999999996,0.006,0.335,2017-18,SouthCarolina
