name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Tajuan Agee,14,0.08,0.07400000000000001,0.5379999999999999,0.011000000000000001,0.026000000000000002,1,2019-20
E.J. Crawford,13,0.07400000000000001,0.057,0.462,0,0,NA,2019-20
Isaiah Washington,5,0.027000000000000003,0,0,0.037000000000000005,0.067,0.5,2019-20
Dylan van Eyck,3,0.028999999999999998,0.038,1,0.33299999999999996,NA,0,2019-20
Niksa Nikolic,3,0.2,0.222,0.667,0,NA,NA,2019-20
Isaiah Ross,2,0.044000000000000004,0.061,1,0,0,NA,2019-20
Mohamed Thiam,1,0.067,0.111,1,0,0,NA,2019-20
Andrija Ristanovic,1,0.16699999999999998,0,0,0,NA,NA,2019-20
Ben Perez,1,0,0,NA,0,0,NA,2019-20
Total,43,0.06,0.053,0.514,0.013000000000000001,0.018000000000000002,0.5,2019-20
