shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.442,0.5329999999999999,0.127,0.611,2018-19
2pt Jumpers,0.23199999999999998,0.34600000000000003,0.067,0.371,2018-19
3pt Shots,0.326,0.33,0.009000000000000001,0.33299999999999996,2018-19
