shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.317,0.614,0.071,0.6609999999999999,2016-17,UTSA
2pt Jumpers,0.313,0.35200000000000004,0.031,0.363,2016-17,UTSA
3pt Shots,0.37,0.35,0.004,0.35200000000000004,2016-17,UTSA
