team,team_no_spaces
Ole Miss,OleMiss
Mississippi Val.,MississippiVal.
UC Riverside,UCRiverside
Clemson,Clemson
Coastal Carolina,CoastalCarolina
Albany (NY),Albany(NY)
Washington,Washington
Colorado St.,ColoradoSt.
UMBC,UMBC
The Citadel,TheCitadel
Loyola Maryland,LoyolaMaryland
Hofstra,Hofstra
UMass Lowell,UMassLowell
South Alabama,SouthAlabama
Butler,Butler
Evansville,Evansville
Iowa,Iowa
Florida A&M,FloridaA&M
TCU,TCU
Oregon,Oregon
Col. of Charleston,Col.ofCharleston
Harvard,Harvard
Florida,Florida
Saint Joseph's,SaintJoseph's
Ohio St.,OhioSt.
Bethune-Cookman,Bethune-Cookman
Florida St.,FloridaSt.
Seton Hall,SetonHall
North Carolina,NorthCarolina
Northern Ky.,NorthernKy.
Oral Roberts,OralRoberts
Navy,Navy
Eastern Wash.,EasternWash.
Ga. Southern,Ga.Southern
N.C. A&T,N.C.A&T
Santa Clara,SantaClara
Delaware,Delaware
New Mexico,NewMexico
Ohio,Ohio
CSUN,CSUN
Coppin St.,CoppinSt.
Temple,Temple
Belmont,Belmont
Monmouth,Monmouth
California,California
Georgia St.,GeorgiaSt.
Georgia,Georgia
North Dakota,NorthDakota
Princeton,Princeton
Saint Louis,SaintLouis
Arizona St.,ArizonaSt.
Southern Ill.,SouthernIll.
UNLV,UNLV
Iona,Iona
Stetson,Stetson
Marshall,Marshall
Niagara,Niagara
Campbell,Campbell
Mercer,Mercer
St. Bonaventure,St.Bonaventure
Oregon St.,OregonSt.
Lipscomb,Lipscomb
Kennesaw St.,KennesawSt.
Penn,Penn
James Madison,JamesMadison
UT Arlington,UTArlington
Seattle U,SeattleU
Georgetown,Georgetown
UNCW,UNCW
McNeese,McNeese
USC Upstate,USCUpstate
Morgan St.,MorganSt.
New Hampshire,NewHampshire
Iowa St.,IowaSt.
Vermont,Vermont
Purdue,Purdue
Kansas City,KansasCity
Drake,Drake
UConn,UConn
Marquette,Marquette
Holy Cross,HolyCross
Houston,Houston
Hampton,Hampton
FGCU,FGCU
New Mexico St.,NewMexicoSt.
Ball St.,BallSt.
Milwaukee,Milwaukee
Portland,Portland
San Francisco,SanFrancisco
Bucknell,Bucknell
UIC,UIC
LMU (CA),LMU(CA)
UIW,UIW
St. Francis Brooklyn,St.FrancisBrooklyn
San Jose St.,SanJoseSt.
Utah Valley,UtahValley
Missouri,Missouri
Cincinnati,Cincinnati
South Dakota St.,SouthDakotaSt.
Northern Ill.,NorthernIll.
CSU Bakersfield,CSUBakersfield
Air Force,AirForce
Bradley,Bradley
Troy,Troy
Gonzaga,Gonzaga
Northern Colo.,NorthernColo.
Southern Miss.,SouthernMiss.
Siena,Siena
Southern Utah,SouthernUtah
Western Ill.,WesternIll.
Pittsburgh,Pittsburgh
Montana,Montana
Massachusetts,Massachusetts
Mount St. Mary's,MountSt.Mary's
Bryant,Bryant
Syracuse,Syracuse
Jacksonville St.,JacksonvilleSt.
Quinnipiac,Quinnipiac
California Baptist,CaliforniaBaptist
Middle Tenn.,MiddleTenn.
Rhode Island,RhodeIsland
High Point,HighPoint
Radford,Radford
Duquesne,Duquesne
Cal Poly,CalPoly
Virginia Tech,VirginiaTech
Charleston So.,CharlestonSo.
North Dakota St.,NorthDakotaSt.
Northwestern St.,NorthwesternSt.
Fairfield,Fairfield
Arkansas,Arkansas
George Washington,GeorgeWashington
UNC Asheville,UNCAsheville
Dayton,Dayton
Arkansas St.,ArkansasSt.
Binghamton,Binghamton
George Mason,GeorgeMason
Old Dominion,OldDominion
Green Bay,GreenBay
UNC Greensboro,UNCGreensboro
Little Rock,LittleRock
Austin Peay,AustinPeay
Rutgers,Rutgers
Nicholls St.,NichollsSt.
Sacramento St.,SacramentoSt.
Eastern Ky.,EasternKy.
William & Mary,William&Mary
Colgate,Colgate
NJIT,NJIT
Merrimack,Merrimack
Purdue Fort Wayne,PurdueFortWayne
Boston U.,BostonU.
Illinois St.,IllinoisSt.
Saint Francis (PA),SaintFrancis(PA)
Manhattan,Manhattan
Utah,Utah
Louisiana Tech,LouisianaTech
Youngstown St.,YoungstownSt.
Jacksonville,Jacksonville
Tennessee St.,TennesseeSt.
Omaha,Omaha
Stanford,Stanford
Longwood,Longwood
Sacred Heart,SacredHeart
NC State,NCState
Oakland,Oakland
Fordham,Fordham
Alabama St.,AlabamaSt.
Wichita St.,WichitaSt.
Texas Tech,TexasTech
Boise St.,BoiseSt.
