shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.43,0.542,0.13699999999999998,0.628,2012-13
2pt Jumpers,0.24,0.35600000000000004,0.051,0.375,2012-13
3pt Shots,0.33,0.342,0.012,0.34600000000000003,2012-13
