shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.314,0.609,0.098,0.675,2012-13
2pt Jumpers,0.36700000000000005,0.331,0.067,0.355,2012-13
3pt Shots,0.319,0.331,0.011000000000000001,0.335,2012-13
