shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.35600000000000004,0.649,0.068,0.696,2019-20
2pt Jumpers,0.295,0.384,0.04,0.4,2019-20
3pt Shots,0.349,0.324,0.005,0.326,2019-20
