name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Franko House,14,0.08199999999999999,0.11699999999999999,0.9229999999999999,0.01,0.024,1,2016-17
Trey Moses,14,0.09699999999999999,0.09300000000000001,0.5710000000000001,0,0,NA,2016-17
Tahjai Teague,13,0.10300000000000001,0.091,0.545,0.055999999999999994,0,0,2016-17
Ryan Weber,5,0.042,0.061,1,0.16699999999999998,0,0,2016-17
Tayler Persons,5,0.019,0.036000000000000004,1,0.006,0,0,2016-17
Kyle Mallers,5,0.429,0.33299999999999996,0.33299999999999996,0.083,0,0,2016-17
Jeremie Tyler,3,0.045,0,0,0.038,0.083,1,2016-17
Doudou Gueye,1,0.1,0.16699999999999998,1,0,NA,NA,2016-17
Kaleb Mallory,1,0,NA,NA,1,NA,0,2016-17
Total,61,0.069,0.077,0.667,0.019,0.01,0.222,2016-17
