shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.364,0.643,0.067,0.6890000000000001,2017-18,Presbyterian
2pt Jumpers,0.267,0.391,0.03,0.40299999999999997,2017-18,Presbyterian
3pt Shots,0.369,0.365,0.009000000000000001,0.368,2017-18,Presbyterian
