name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Shay'Rone Jett,10,0.16699999999999998,0.139,0.625,0.067,0,0,2016-17
Daquan Cook,7,0.091,0.158,0.75,0.06,0,0,2016-17
Tevin Bellinger,6,0.025,0.044000000000000004,1,0.021,0,0,2016-17
Shaquille Preston,5,0.10300000000000001,0.1,0.5,0.053,0,0,2016-17
Jordan Giddings,4,0.09699999999999999,0.11800000000000001,0.667,0.05,0,0,2016-17
Ja'Donta Blakely,4,0.027000000000000003,0.036000000000000004,0.667,0.013999999999999999,0,0,2016-17
Yusef Yakubu,3,0.231,0.33299999999999996,1,NA,NA,NA,2016-17
JD Wallace,3,0.065,0.048,0.5,0.125,0,0,2016-17
L.J. Westbrook,2,0.024,0,0,0,0,NA,2016-17
Zachary Hamilton,2,0.027000000000000003,0.023,0.5,0,0,NA,2016-17
Admussu Williams,1,0.042,0.062,1,0,0,NA,2016-17
Troy Thompson,1,0.022000000000000002,0,0,0,0,NA,2016-17
Total,48,0.053,0.06,0.657,0.022000000000000002,0,0,2016-17
