shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.327,0.622,0.126,0.7120000000000001,2011-12
2pt Jumpers,0.4,0.381,0.031,0.39399999999999996,2011-12
3pt Shots,0.273,0.35100000000000003,0.01,0.354,2011-12
