shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.361,0.634,0.057999999999999996,0.674,2013-14
2pt Jumpers,0.265,0.386,0.057,0.409,2013-14
3pt Shots,0.373,0.374,0.006,0.376,2013-14
