start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season,team
"Rebound, 0-10 s",0.138,0.5920000000000001,0.414,0.644,0.14300000000000002,0.47200000000000003,0.442,0.387,2013-14,Delaware
"Rebound, 11-30 s",0.209,0.445,0.3,0.518,0.371,0.33299999999999996,0.32899999999999996,0.336,2013-14,Delaware
"Opp score, 0-10 s",0.06,0.505,0.391,0.5579999999999999,0.191,0.429,0.418,0.326,2013-14,Delaware
"Opp score, 11-30 s",0.41100000000000003,0.485,0.321,0.5539999999999999,0.307,0.38,0.37200000000000005,0.342,2013-14,Delaware
"Steal, 0-10 s",0.06,0.693,0.6609999999999999,0.764,0.064,0.14300000000000002,0.275,0.433,2013-14,Delaware
"Steal, 11-30 s",0.019,0.386,0.28600000000000003,0.3,0.514,0.33299999999999996,0.2,0.429,2013-14,Delaware
Transition,0.258,0.595,0.466,0.667,0.136,0.42200000000000004,0.39799999999999996,0.38,2013-14,Delaware
