shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.331,0.564,0.09300000000000001,0.623,2014-15,IdahoSt.
2pt Jumpers,0.243,0.382,0.055999999999999994,0.40399999999999997,2014-15,IdahoSt.
3pt Shots,0.425,0.36700000000000005,0.006999999999999999,0.37,2014-15,IdahoSt.
