name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Tevin Falzon,42,0.271,0.26,0.48700000000000004,0.07,0.091,0.33299999999999996,2014-15
De'Von Barnett,22,0.129,0.16699999999999998,0.833,0.037000000000000005,0.059000000000000004,0.75,2014-15
Jordan Allen,18,0.113,0.109,0.647,0.04,0.125,1,2014-15
Evan Kelley,14,0.051,0.026000000000000002,0.3,0.031,0.085,1,2014-15
Filip Nowicki,13,0.22399999999999998,0.226,0.636,0.1,0.14300000000000002,0.5,2014-15
Cane Broome,5,0.028999999999999998,0.033,0.6,0,0,NA,2014-15
Chris Robinson,5,0.182,0.273,0.75,0.071,0,0,2014-15
Phil Gaetano,4,0.12,0,0,0,0,NA,2014-15
Cole Walton,2,0.222,0.25,0.5,0,NA,NA,2014-15
Total,125,0.11599999999999999,0.114,0.569,0.034,0.061,0.667,2014-15
