shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.37799999999999995,0.5720000000000001,0.115,0.647,2017-18,CentralConn.St.
2pt Jumpers,0.214,0.341,0.04,0.355,2017-18,CentralConn.St.
3pt Shots,0.40700000000000003,0.364,0.013000000000000001,0.369,2017-18,CentralConn.St.
