start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season
"Rebound, 0-10 s",0.139,0.583,0.385,0.629,0.131,0.33299999999999996,0.484,0.41,2016-17
"Rebound, 11-30 s",0.214,0.465,0.252,0.5920000000000001,0.326,0.307,0.42200000000000004,0.341,2016-17
"Score, 0-10 s",0.057,0.47100000000000003,0.32,0.667,0.214,0.318,0.466,0.271,2016-17
"Score, 11-30 s",0.395,0.44799999999999995,0.27699999999999997,0.583,0.327,0.34,0.396,0.29600000000000004,2016-17
"Steal, 0-10 s",0.064,0.594,0.598,0.6709999999999999,0.145,0.353,0.256,0.36700000000000005,2016-17
"Steal, 11-30 s",0.016,0.36200000000000004,0.276,0.5,0.276,0.25,0.44799999999999995,0.231,2016-17
Transition,0.26,0.561,0.424,0.65,0.153,0.33299999999999996,0.424,0.37,2016-17
