shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.355,0.639,0.094,0.706,2017-18
2pt Jumpers,0.278,0.35100000000000003,0.10099999999999999,0.39,2017-18
3pt Shots,0.36700000000000005,0.376,0.009000000000000001,0.38,2017-18
