shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.366,0.614,0.07,0.6609999999999999,2013-14,SouthernIll.
2pt Jumpers,0.239,0.34700000000000003,0.026000000000000002,0.35600000000000004,2013-14,SouthernIll.
3pt Shots,0.396,0.33,0.004,0.331,2013-14,SouthernIll.
