start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season
"Rebound, 0-10 s",0.151,0.47600000000000003,0.47200000000000003,0.5,0.10400000000000001,0.34600000000000003,0.424,0.321,2018-19
"Rebound, 11-30 s",0.245,0.479,0.371,0.5529999999999999,0.23,0.33299999999999996,0.39899999999999997,0.32899999999999996,2018-19
"Score, 0-10 s",0.046,0.428,0.395,0.4,0.145,0.364,0.461,0.314,2018-19
"Score, 11-30 s",0.366,0.39899999999999997,0.364,0.473,0.233,0.305,0.40299999999999997,0.258,2018-19
"Steal, 0-10 s",0.054000000000000006,0.528,0.708,0.603,0.034,0,0.258,0.261,2018-19
"Steal, 11-30 s",0.027000000000000003,0.43200000000000005,0.455,0.4,0.22699999999999998,0.2,0.318,0.429,2018-19
Transition,0.251,0.478,0.508,0.517,0.096,0.325,0.395,0.311,2018-19
