start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season,team
"Rebound, 0-10 s",0.17,0.522,0.331,0.64,0.204,0.345,0.465,0.344,2011-12,WeberSt.
"Rebound, 11-30 s",0.185,0.507,0.233,0.529,0.34600000000000003,0.396,0.42100000000000004,0.39,2011-12,WeberSt.
"Opp score, 0-10 s",0.037000000000000005,0.517,0.28800000000000003,0.765,0.16899999999999998,0.1,0.542,0.344,2011-12,WeberSt.
"Opp score, 11-30 s",0.41,0.529,0.215,0.64,0.355,0.33899999999999997,0.431,0.419,2011-12,WeberSt.
"Steal, 0-10 s",0.063,0.6970000000000001,0.687,0.721,0.162,0.312,0.152,0.667,2011-12,WeberSt.
"Steal, 11-30 s",0.017,0.519,0.222,0.5,0.40700000000000003,0.455,0.37,0.4,2011-12,WeberSt.
Transition,0.27,0.562,0.40700000000000003,0.684,0.19,0.309,0.40299999999999997,0.37200000000000005,2011-12,WeberSt.
