shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.27899999999999997,0.627,0.086,0.6859999999999999,2014-15
2pt Jumpers,0.35100000000000003,0.33,0.111,0.371,2014-15
3pt Shots,0.37,0.325,0.018000000000000002,0.331,2014-15
