name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Matt McCarthy,17,0.09699999999999999,0.084,0.5710000000000001,0.043,0,0,2017-18,SanFrancisco
Remu Raitanen,12,0.385,0.33299999999999996,0.5,0.2,NA,0,2017-18,SanFrancisco
Nate Renfro,9,0.085,0.075,0.625,0.045,0,0,2017-18,SanFrancisco
Chase Foster,6,0.046,0.077,0.8,0.023,0.059000000000000004,1,2017-18,SanFrancisco
Jimbo Lull,5,0.066,0.042,0.5,0.038,0,0,2017-18,SanFrancisco
Erik Poulsen,4,0,0,NA,0.077,0.1,0.5,2017-18,SanFrancisco
Souley Boum,4,0.01,0.021,1,0.025,0,0,2017-18,SanFrancisco
Jordan Ratinho,3,0.022000000000000002,0.04,1,0,0,NA,2017-18,SanFrancisco
Taavi Jurkatamm,2,0.105,0.091,0.5,0,0,NA,2017-18,SanFrancisco
Jamaree Bouyea,1,0.023,0.053,1,0,0,NA,2017-18,SanFrancisco
Nick Loew,1,0.111,0.2,1,0,0,NA,2017-18,SanFrancisco
Total,64,0.059000000000000004,0.064,0.625,0.026000000000000002,0.013999999999999999,0.16699999999999998,2017-18,SanFrancisco
