name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Kevarrius Hayes,22,0.13699999999999998,0.114,0.588,0.125,0.136,0.6,2018-19,Florida
Keyontae Johnson,19,0.147,0.157,0.647,0.038,0.067,0.5,2018-19,Florida
Dontay Bassett,10,0.303,0.28600000000000003,0.6,0,0,NA,2018-19,Florida
Keith Stone,7,0.318,0.462,0.857,0,0,NA,2018-19,Florida
Jalen Hudson,6,0.039,0.045,0.667,0.039,0.045,0.33299999999999996,2018-19,Florida
Noah Locke,4,0,0,NA,0.027999999999999997,0.038,0.5,2018-19,Florida
Isaiah Stokes,4,0.111,0.11800000000000001,0.667,0.038,0.1,1,2018-19,Florida
Deaundrae Ballard,4,0.069,0.05,0.5,0.071,0.1,0.5,2018-19,Florida
Mike Okauru,1,0.083,0.125,1,0,0,NA,2018-19,Florida
Kevaughn Allen,1,0.017,0,0,0,0,NA,2018-19,Florida
Total,78,0.102,0.107,0.639,0.028999999999999998,0.044000000000000004,0.5329999999999999,2018-19,Florida
