shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.387,0.562,0.055,0.594,2018-19
2pt Jumpers,0.285,0.37,0.042,0.386,2018-19
3pt Shots,0.32799999999999996,0.335,0.015,0.34,2018-19
