shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.42100000000000004,0.506,0.159,0.602,2014-15,TCU
2pt Jumpers,0.335,0.315,0.095,0.348,2014-15,TCU
3pt Shots,0.244,0.33299999999999996,0.019,0.34,2014-15,TCU
