start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season,team
"Rebound, 0-10 s",0.135,0.647,0.446,0.6709999999999999,0.152,0.46399999999999997,0.402,0.45899999999999996,2014-15,AustinPeay
"Rebound, 11-30 s",0.222,0.517,0.315,0.5579999999999999,0.298,0.37799999999999995,0.387,0.39299999999999996,2014-15,AustinPeay
"Score, 0-10 s",0.043,0.619,0.35600000000000004,0.857,0.16899999999999998,0.5,0.475,0.321,2014-15,AustinPeay
"Score, 11-30 s",0.373,0.48100000000000004,0.31,0.522,0.29100000000000004,0.374,0.39899999999999997,0.35100000000000003,2014-15,AustinPeay
"Steal, 0-10 s",0.10099999999999999,0.617,0.65,0.753,0.124,0.235,0.226,0.29,2014-15,AustinPeay
"Steal, 11-30 s",0.025,0.5,0.324,0.636,0.294,0.4,0.382,0.308,2014-15,AustinPeay
Transition,0.28,0.632,0.505,0.7290000000000001,0.145,0.4,0.35,0.391,2014-15,AustinPeay
