start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season
"Rebound, 0-10 s",0.134,0.513,0.391,0.64,0.255,0.38799999999999996,0.354,0.309,2012-13
"Rebound, 11-30 s",0.218,0.40399999999999997,0.24,0.467,0.38299999999999995,0.275,0.377,0.331,2012-13
"Score, 0-10 s",0.044000000000000004,0.508,0.33299999999999996,0.524,0.23800000000000002,0.4,0.429,0.37,2012-13
"Score, 11-30 s",0.348,0.365,0.253,0.405,0.415,0.32899999999999996,0.33299999999999996,0.253,2012-13
"Steal, 0-10 s",0.073,0.652,0.657,0.754,0.133,0.214,0.21,0.409,2012-13
"Steal, 11-30 s",0.027000000000000003,0.397,0.231,0.222,0.41,0.188,0.359,0.5,2012-13
Transition,0.251,0.5529999999999999,0.45799999999999996,0.6729999999999999,0.217,0.359,0.325,0.342,2012-13
