shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.33299999999999996,0.552,0.11199999999999999,0.622,2012-13
2pt Jumpers,0.35,0.311,0.125,0.35600000000000004,2012-13
3pt Shots,0.318,0.306,0.015,0.31,2012-13
