shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.33899999999999997,0.5660000000000001,0.096,0.626,2019-20
2pt Jumpers,0.332,0.376,0.052000000000000005,0.397,2019-20
3pt Shots,0.32799999999999996,0.301,0.011000000000000001,0.304,2019-20
