shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.428,0.579,0.129,0.664,2013-14,FIU
2pt Jumpers,0.247,0.31,0.059000000000000004,0.32899999999999996,2013-14,FIU
3pt Shots,0.325,0.326,0.01,0.33,2013-14,FIU
