name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Isaiah Wilkerson,34,0.2,0.247,0.741,0.044000000000000004,0.055999999999999994,0.429,2011-12,NJIT
Kherel Silcott,14,0.28,0.2,0.35700000000000004,0,0,NA,2011-12,NJIT
Ryan Woods,10,0.24100000000000002,0.25,0.7140000000000001,0.059000000000000004,0,0,2011-12,NJIT
Ryan Regis,6,0.158,0.13,0.5,0,0,NA,2011-12,NJIT
Lamar Kearse,5,0.043,0.027000000000000003,0.33299999999999996,0.02,0,0,2011-12,NJIT
Pj Miller,5,0.035,0.04,0.667,0.028999999999999998,0,0,2011-12,NJIT
Daquan Holiday,4,0.444,0.28600000000000003,0.5,0,0,NA,2011-12,NJIT
Chris Flores,4,0.032,0.054000000000000006,1,0.01,0,0,2011-12,NJIT
Garrett Frick,4,0.16699999999999998,0.17600000000000002,0.75,0,0,NA,2011-12,NJIT
Odera Nweke,2,0.133,0,0,0,0,NA,2011-12,NJIT
Arjun Ohri,1,0,0,NA,0,0,NA,2011-12,NJIT
Sean McCarthy,1,0.077,0,0,0,0,NA,2011-12,NJIT
Total,90,0.126,0.128,0.595,0.026000000000000002,0.016,0.214,2011-12,NJIT
