shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.396,0.667,0.065,0.7140000000000001,2013-14
2pt Jumpers,0.25,0.387,0.049,0.40700000000000003,2013-14
3pt Shots,0.354,0.354,0.009000000000000001,0.35700000000000004,2013-14
