shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.337,0.589,0.105,0.6579999999999999,2019-20
2pt Jumpers,0.267,0.365,0.061,0.389,2019-20
3pt Shots,0.396,0.33899999999999997,0.018000000000000002,0.345,2019-20
