shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season,team
At Rim,0.315,0.632,0.066,0.677,2013-14,UNCGreensboro
2pt Jumpers,0.349,0.36,0.05,0.379,2013-14,UNCGreensboro
3pt Shots,0.336,0.337,0.008,0.33899999999999997,2013-14,UNCGreensboro
