name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Justin Sears,31,0.154,0.18899999999999997,0.769,0.028999999999999998,0.040999999999999995,0.6,2013-14
Armani Cotton,20,0.203,0.10300000000000001,0.267,0.11599999999999999,0.25,0.4,2013-14
Brandon Sherrod,19,0.162,0.151,0.47100000000000003,0.027000000000000003,0.042,0.5,2013-14
Matt Townsend,14,0.203,0.235,0.667,0.032,0,0,2013-14
Javier Duren,8,0.071,0.087,0.667,0.01,0,0,2013-14
Nick Victor,5,0.06,0.105,1,0.022000000000000002,0.05,1,2013-14
Greg Kelley,3,0.25,0.14300000000000002,0.33299999999999996,0,0,NA,2013-14
Jesse Pritchard,2,0.33299999999999996,0,0,0.111,0,0,2013-14
Jack Montague,2,0.16699999999999998,0,0,0.067,0,0,2013-14
Sam Downey,1,0,0,NA,0.2,0.33299999999999996,1,2013-14
Anthony Dallier,1,0.053,0.14300000000000002,1,0,0,NA,2013-14
Khaliq Bedart Ghani,1,0.5,0.5,1,0,NA,NA,2013-14
Total,107,0.142,0.149,0.586,0.033,0.039,0.42100000000000004,2013-14
