start_of_poss,percent_of_initial_attempts,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_shots_2pt_jumpers,fg_percent_2pt_jumpers,percent_shots_3pt,fg_percent_3pt,season,team
"Rebound, 0-10 s",0.09699999999999999,0.44799999999999995,0.484,0.541,0.124,0.474,0.392,0.217,2017-18,Longwood
"Rebound, 11-30 s",0.248,0.51,0.27399999999999997,0.495,0.303,0.39799999999999996,0.423,0.4,2017-18,Longwood
"Opp score, 0-10 s",0.036000000000000004,0.5539999999999999,0.304,0.529,0.268,0.467,0.429,0.41700000000000004,2017-18,Longwood
"Opp score, 11-30 s",0.41600000000000004,0.44,0.32799999999999996,0.542,0.25,0.307,0.423,0.293,2017-18,Longwood
"Steal, 0-10 s",0.07,0.623,0.645,0.634,0.073,0.5,0.282,0.419,2017-18,Longwood
"Steal, 11-30 s",0.027999999999999997,0.489,0.205,0.778,0.43200000000000005,0.368,0.364,0.312,2017-18,Longwood
Transition,0.203,0.527,0.508,0.58,0.132,0.47600000000000003,0.361,0.313,2017-18,Longwood
