name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Troy Huff,26,0.11199999999999999,0.121,0.65,0.075,0.105,0.33299999999999996,2011-12
Brandon Brekke,21,0.12300000000000001,0.138,0.857,0.125,0.172,0.7140000000000001,2011-12
Jordan Allard,14,0.196,0.259,0.778,0.11599999999999999,0.083,0.2,2011-12
Patrick Mitchell,13,0.095,0.071,0.5,0.14300000000000002,0.174,0.444,2011-12
Jamal Webb,6,0.042,0.075,1,0,0,NA,2011-12
Mitch Wilmer,4,0.125,0.1,0.33299999999999996,0.048,0,0,2011-12
Josh Gentry,1,0,0,NA,0.091,1,1,2011-12
Doug Archer,1,0.1,0.14300000000000002,1,0,0,NA,2011-12
Josh Schuler,1,0,0,NA,0.017,0,0,2011-12
Dan Stockdale,1,NA,NA,NA,0.5,1,1,2011-12
Aaron Anderson,1,0.01,0.019,1,0,0,NA,2011-12
Total,89,0.087,0.106,0.732,0.066,0.08,0.452,2011-12
