shot_type,percent_of_shots,fg_percent,percent_of_shots_blocked,unblocked_fg_percent,season
At Rim,0.35600000000000004,0.65,0.063,0.693,2013-14
2pt Jumpers,0.244,0.401,0.047,0.42100000000000004,2013-14
3pt Shots,0.4,0.353,0.003,0.354,2013-14
